,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.00323662447452,3.921042624243446,4.155633880897591,3.527823725979524,3.9202590439593146,4.142199128368468,2.6557309741287654,4.065805837983005,4.0104477535563205,3.804758507008144,3.5359320399508416,3.5608204026655996,4.960078352725347,3.9993481123893226,3.265869506076354,3.885439040832005,2.3956101531580956,3.1573781370556517,4.125567886378948,3.4080572433003664,4.0118706197408525,3.608488539736819,3.4817256909510688,3.7983086647888067,3.796961010311617,3.9845563475608077,3.3296513038564823,3.9905347366520614,3.457532099577383,3.1117436656753874,2.725091669247843,3.359889713666008,3.03786987796981,4.573530971928738
2,4.970691192208545,4.967968071295489,4.445038542233086,3.9040812017501607,4.830996330610375,4.706774986706019,3.3945322656391426,4.698863827619261,4.530834610056036,4.837137133124108,3.9635675806394643,4.065070651760445,4.7780339558386205,4.012903248851896,3.9985086219799095,4.217821856577007,2.529654854250285,3.5429142104678215,4.199745575969298,4.399100458267886,4.9939367003420365,4.573828531668617,3.8220703365715125,4.732194291326201,4.314734772796683,4.494190712842138,4.41444106337582,4.162471847193277,3.4614584078162713,4.388328352062113,2.994309673897451,4.347235028844015,4.0133187068947676,3.9994078085761275
3,4.017224093002052,3.985712021617564,4.955690321292989,4.088505170017089,4.529069219848292,4.271091021795052,2.818734441362757,4.33757194978474,4.491458449828687,4.367530506248576,3.7235874442593975,3.533016342151445,4.964917440937787,4.19678861581227,3.443251695741356,3.619813135789099,2.7729153859255904,3.4240627690729206,4.221132846866191,3.5055863056864167,4.440557189636377,3.010920632687216,3.0160169272624295,3.8632639913938838,4.079995351899278,4.316606810366885,3.878743699769758,4.47489304889127,3.205669845752899,3.2410801395079227,2.235998569576553,2.5946896589214608,3.442447948779949,4.6023548678421955
4,4.991066557854521,4.98724134432136,4.928631104218032,4.961947756254902,5.010588521140018,4.961786860917535,3.9450880551276755,5.075984621641157,4.9514304607262805,5.017261592723626,4.51114389691274,3.821833609258834,5.000376930424419,4.204445650594123,3.5830976821099556,4.371644717220437,3.1328940158742733,3.5420517302116012,4.339851091418165,3.98331251379768,4.722569066082258,4.592086381664848,3.597964754852198,4.979591417966132,4.06288385447447,4.741803524358498,4.5026746869099785,4.906578724453817,3.1165828714216937,3.413014952430784,2.009425885585692,4.223588551849521,4.170307314135281,4.644414203091225
5,4.980639015931904,4.240250467530897,5.459804678313599,4.372390620259239,5.1615510363131305,4.556618520544456,3.146864625768975,4.639151841534946,4.982049218117821,4.918002743089237,4.142015015882787,4.107172318230842,4.97492266810677,4.6750105132965345,3.2980854930006074,4.269230938376717,3.0234895771870796,3.437987501413232,4.969742512454257,3.3908610201832126,3.9950516459816137,3.489562442474343,3.1088418818762826,4.432116307424449,4.509592947355866,4.72364781479536,3.738377422893429,5.07048340414729,3.017239940325345,3.611852726537333,2.996261956159554,2.031797339241029,4.980758145622009,4.987314548430072
6,4.970687118852775,4.964520791503415,4.167466568986095,3.8764955745289322,4.507341122560785,4.541915904956211,3.556757400166828,4.7074284794214645,4.28603531166777,4.623628025543309,3.8845594801254806,3.7869454218097633,4.323836997980227,3.631621320769875,3.9093579177819917,4.100088111612143,2.5393870947712847,3.0850924656520946,3.734715719597432,4.184715991634245,4.888513987484284,4.81545895077301,3.9060973781203963,4.84827017200111,4.017686450050172,4.2178247544798095,4.734133024705879,3.8362635372754093,3.4746315649274444,3.810260195440883,2.010721364715408,4.979284447457059,4.001677718439054,3.0166511663859445
7,4.978866772007661,4.184221459610225,4.22023030023804,2.041102425450709,4.14508112978481,4.237771496337605,2.8272310060471777,4.040972237821832,4.000473415919303,4.115016667241049,3.3297402115688013,4.96769263928232,4.9885983959035265,4.912545607314397,4.039690920173265,4.983447383131507,2.0874382548555426,2.9402516169109107,4.264442985363229,4.52426221677282,4.618849222518955,4.995947853279518,4.981582996282201,4.693705336417172,4.548217554084491,3.9880660588175547,3.7979866838531744,3.666256427383683,5.166064223772717,4.449343393562791,4.278607043934201,4.519861753621453,4.582050888008166,4.002961025070568
8,4.0331587624195055,4.610125585749567,4.9883498850608845,4.092991259103658,4.812458718268664,4.380045009266075,3.4552433922250527,4.456625030067755,4.892288720475927,5.002080104766594,4.26071232320061,4.02943076195712,4.41330888715892,4.984769278076216,3.482615319697956,4.047347789949012,3.2816951174976876,4.053013078450984,3.658652472901856,3.940344364575802,5.03761635121467,3.636077943566065,3.001184826356179,4.480854276576758,4.267236531105492,4.697231596022218,4.96123497193625,4.964618791369225,3.3999725848556968,3.4712869560882353,2.0990252840797456,3.1523683405396046,3.7939888339904164,4.453267913084345
9,4.985845852287261,4.639418673515164,4.999144611365792,4.143679047672981,4.872684053965057,4.668315429280277,3.4083437711732985,4.796900157470259,4.76878218270025,4.763806731488643,4.352643916778916,4.288913970482509,4.9990212443029085,4.86723846007629,3.3624142555564362,4.977790589805272,2.962600468544124,3.450599271676514,4.361020093117902,3.5872032991338236,4.595415737643194,4.565943326386391,3.9720635963883435,4.7543183595827445,4.421357937023978,4.743487713387257,4.053985232402367,4.97498773262535,3.998280335836682,3.444981417249622,2.611287407539074,3.7325331776962947,4.461201342667837,4.888791368554438
10,4.009622429425962,3.9856671118323503,4.0005908898626945,2.5251794356047226,3.9242759590338663,4.250625317308276,2.778122852043062,4.018305841463921,4.007195576703056,3.9027158088282223,2.5113894718269716,4.011936481138694,4.990414318964342,3.0198013403678767,4.950843822107574,3.5482506617888654,2.963910362475768,2.801230091627279,4.530127149272157,5.09132616438156,3.978457097947528,4.001589131444216,4.960483015469315,4.037038788075855,3.6463137562236727,3.572014870961929,3.8986054496337457,3.2055593436184253,4.9978845255346815,5.332185182712527,2.9663232524671903,4.665900503162255,3.298289397830264,4.024097303814225
